feature,lasso_std_coef,rf_importance,permutation,rank_lasso,rank_rf,rank_perm,avg_rank
surg_proc_avg,19.943051878268008,0.627399974733647,1.4641283098556732,1.0,1.0,1.0,1.0
wait_min,0.7805684035588842,0.04807120205383444,0.0008226166460840289,2.0,3.0,3.0,2.6666666666666665
month_avg,0.7163694363128785,0.016570003897839327,0.0014124948466977094,3.0,8.0,2.0,4.333333333333333
circ_enc,0.6200289725058021,0.026394399500028518,0.0007028763034127028,4.0,5.0,4.0,4.333333333333333
scrub_enc,0.3060638960965172,0.01805429389142901,3.994167852592323e-05,6.0,6.0,8.0,6.666666666666667
surgeon_avg_duration,0.2609978974586735,0.007299200406757385,0.00035385444691611313,9.0,15.0,5.0,9.666666666666666
proc_avg_duration,0.4674694933550214,0.115709445748556,-0.00027055906052547707,5.0,2.0,24.0,10.333333333333334
dow_avg,0.036806319031572714,0.010448584502344923,0.0001059170355246053,15.0,10.0,6.0,10.333333333333334
age,0.0,0.04229874523318651,0.00010547395057751708,20.5,4.0,7.0,10.5
month,0.0,0.01303351742685712,2.742444150214407e-05,20.5,9.0,9.0,12.833333333333334
op_hour,0.0,0.01662836357150944,1.4647595852468332e-05,20.5,7.0,13.0,13.5
surg_proc_count,0.053307383149284855,0.010304057664845264,-4.0041229967335835e-05,12.0,11.0,22.0,15.0
division_enc,0.03952896305882164,0.001943367456588818,2.4492205993287276e-05,14.0,21.0,10.0,15.0
surgeon_case_count,0.0,0.007911222068556944,1.7561395903997747e-05,20.5,14.0,11.0,15.166666666666666
quarter,0.04179652242384026,0.0034936428227881947,0.0,13.0,16.0,16.5,15.166666666666666
day_of_week,0.2801059367407716,0.008689750777592294,-0.00039328596470485924,8.0,13.0,25.0,15.333333333333334
is_weekend,0.2823624883664756,1.5287419563328552e-06,0.0,7.0,25.0,16.5,16.166666666666668
has_assistant,0.2607847563116467,0.0014759767065273528,0.0,10.0,23.0,16.5,16.5
proc_case_count,0.0,0.003257807921132875,1.5951007468095746e-05,20.5,18.0,12.0,16.833333333333332
anes_avg,0.0541078518765469,0.0032782106836595237,-0.00015544557960908145,11.0,17.0,23.0,17.0
surgeon_enc,0.0,0.009512522384615682,-1.2729411553835668e-05,20.5,12.0,21.0,17.833333333333332
anes_enc,0.0,0.003196450855281469,0.0,20.5,20.0,16.5,19.0
timeslot_enc,0.0,0.0018071496072041403,0.0,20.5,22.0,16.5,19.666666666666668
proc_enc,0.0,0.003217082953925565,-7.566180499951614e-06,20.5,19.0,20.0,19.833333333333332
optype_enc,0.0,3.498389335809889e-06,0.0,20.5,24.0,16.5,20.333333333333332
